lands,mana_rocks,land_ramp,immediate_draw,per_turn_draw,on_cast_draw,curve,actual_curve,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,cmc_0,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7,cmc_8plus
32,0,16,14,2,0,3.5,3.2058823529411766,83.691,15.374,19.697,48.62,10.816,0,5,16,23,13,7,3,1,0
31,3,16,12,2,1,3.5,3.072463768115942,83.686,17.205,17.677,48.804,8.773,0,5,18,25,13,5,2,1,0
34,0,16,12,1,1,3.5,3.1666666666666665,83.512,16.028,16.295,51.189,11.318,0,5,16,22,14,5,3,1,0
36,0,16,10,2,1,3.0,2.921875,83.434,18.747,15.335,49.352,5.904,0,5,17,27,10,3,2,0,0
37,2,18,8,2,1,3.0,2.873015873015873,83.412,24.408,11.67,47.334,5.706,0,5,17,28,9,2,2,0,0
36,3,10,14,1,1,3.0,2.96875,83.37,12.199,22.946,48.225,6.048,0,6,19,20,11,6,2,0,0
35,2,12,14,1,1,2.5,2.8153846153846156,83.2,14.792,23.788,44.62,6.342,0,8,24,15,10,6,2,0,0
42,2,10,14,3,0,3.5,3.0517241379310347,83.197,12.84,24.87,45.487,5.646,0,5,16,18,11,6,2,0,0
32,2,14,14,3,0,3.5,3.1323529411764706,83.134,15.005,20.955,47.174,8.688,0,5,17,24,12,7,2,1,0
32,0,16,14,2,0,3.5,3.2058823529411766,83.019,15.333,19.427,48.259,10.74,0,5,16,23,13,7,3,1,0
41,0,12,10,3,1,3.5,3.1016949152542375,82.643,13.261,16.436,52.946,9.75,0,4,16,20,12,4,2,1,0
34,1,14,14,2,0,3.5,3.1515151515151514,82.616,14.596,19.822,48.198,8.34,0,5,16,23,12,7,2,1,0
39,2,10,14,1,1,2.5,2.80327868852459,82.56,12.907,24.635,45.018,6.384,0,7,24,13,10,5,2,0,0
33,3,16,14,2,0,2.5,2.791044776119403,82.48,21.001,22.349,39.13,5.694,0,7,25,19,9,5,2,0,0
31,2,14,14,3,0,3.5,3.1594202898550723,82.319,14.349,20.384,47.586,10.881,0,6,17,22,13,7,3,1,0
30,1,16,12,2,1,3.0,2.942857142857143,81.717,16.268,18.068,47.381,5.988,0,6,17,30,11,4,2,0,0
30,0,18,12,1,1,3.0,3.0,81.605,19.008,16.364,46.233,5.742,0,5,17,29,13,4,2,0,0
34,0,18,10,1,1,3.0,2.9545454545454546,81.481,20.706,12.909,47.866,5.556,0,5,17,27,12,3,2,0,0
36,2,4,14,3,1,3.0,3.046875,80.821,3.847,24.711,52.263,9.423,0,6,18,20,11,6,2,1,0
34,1,16,10,2,1,3.5,3.090909090909091,80.454,16.468,13.333,50.653,11.092,0,6,16,23,13,4,3,1,0
41,0,16,12,0,1,3.0,2.9322033898305087,80.296,19.48,17.674,43.142,3.03,0,4,15,26,10,3,1,0,0
33,0,16,10,2,1,3.0,2.925373134328358,80.164,17.06,14.185,48.919,5.622,0,5,17,30,10,3,2,0,0
35,3,18,10,0,1,3.0,2.8923076923076922,80.155,23.243,12.612,44.3,5.73,0,6,18,25,11,3,2,0,0
36,1,6,12,3,1,3.0,2.984375,80.057,5.082,19.897,55.078,9.011,0,6,18,22,11,4,2,1,0
35,2,8,14,2,1,2.5,2.8153846153846156,80.026,8.769,24.165,47.092,6.006,0,8,25,13,11,6,2,0,0
41,1,16,12,0,1,2.5,2.7796610169491527,79.983,21.022,18.754,40.207,6.3,0,7,20,18,9,3,2,0,0
37,1,18,10,3,0,3.0,2.9047619047619047,79.951,22.72,14.95,42.281,5.226,0,5,16,28,10,2,2,0,0
38,3,10,12,2,1,2.5,2.7580645161290325,79.864,13.377,20.464,46.023,6.21,0,7,25,14,10,4,2,0,0
28,1,18,12,1,1,3.5,3.138888888888889,79.843,17.2,15.103,47.54,10.645,0,6,17,24,16,5,3,1,0
29,2,14,14,3,0,2.5,2.816901408450704,79.825,15.936,21.527,42.362,5.64,0,8,25,20,10,6,2,0,0
32,0,12,14,1,1,3.0,3.073529411764706,79.724,10.773,20.455,48.496,8.911,0,5,18,25,11,6,2,1,0
38,1,12,12,1,1,3.0,2.935483870967742,79.554,13.174,18.152,48.228,5.472,0,6,17,22,11,4,2,0,0
37,0,4,12,3,1,3.5,3.2222222222222223,79.256,2.78,18.338,58.138,11.122,0,5,16,17,15,6,3,1,0
39,2,6,14,1,1,3.5,3.19672131147541,79.169,5.673,20.505,52.991,11.568,0,6,17,13,14,7,3,1,0
37,1,10,14,0,1,3.5,3.2222222222222223,79.052,9.294,19.247,50.511,10.876,0,6,15,17,14,7,3,1,0
35,2,12,12,1,1,3.5,3.123076923076923,78.911,12.382,15.835,50.694,10.802,0,6,17,19,14,5,3,1,0
31,0,14,12,2,1,2.5,2.782608695652174,78.825,14.942,18.264,45.619,5.628,0,7,26,19,11,4,2,0,0
34,3,18,12,2,0,2.5,2.772727272727273,78.528,24.089,16.869,37.57,5.388,0,7,24,19,11,3,2,0,0
37,2,2,14,3,1,2.5,2.8095238095238093,78.455,2.658,26.273,49.524,6.108,0,9,23,12,11,6,2,0,0
38,3,14,12,3,0,3.0,2.838709677419355,78.323,18.675,18.813,40.835,2.862,0,5,18,26,9,3,1,0,0
33,1,4,14,3,1,3.5,3.2388059701492535,78.231,2.958,21.362,53.911,11.416,0,6,16,18,15,8,3,1,0
36,0,16,10,3,0,3.5,3.078125,78.193,16.606,13.596,47.991,8.193,0,4,16,26,11,4,2,1,0
36,1,10,12,3,0,3.5,3.109375,78.179,9.94,16.933,51.306,10.491,0,6,17,19,13,5,3,1,0
42,1,10,14,2,0,3.5,3.086206896551724,78.172,11.075,21.585,45.512,5.436,0,5,15,18,12,6,2,0,0
32,2,16,8,3,1,3.5,3.0294117647058822,78.169,16.409,11.006,50.754,10.987,0,6,18,25,11,4,3,1,0
28,2,12,14,3,1,3.0,3.0277777777777777,78.138,11.209,22.382,44.547,8.79,0,6,19,27,11,6,2,1,0
37,3,18,10,0,1,3.0,2.9047619047619047,78.104,23.548,12.249,42.307,5.682,0,5,17,26,11,2,2,0,0
32,1,18,14,0,0,3.0,3.0294117647058822,77.965,19.458,17.138,41.369,4.836,0,6,16,26,12,6,2,0,0
33,1,8,14,3,0,2.5,2.7761194029850746,77.837,8.215,22.671,46.951,5.502,0,9,25,15,10,6,2,0,0
31,2,14,10,3,1,3.5,3.0579710144927534,77.799,13.898,14.117,49.784,10.868,0,6,18,24,13,4,3,1,0
32,3,16,8,3,1,2.5,2.661764705882353,77.665,20.612,12.7,44.353,5.646,0,8,26,22,7,3,2,0,0
39,0,12,14,1,0,3.5,3.19672131147541,77.578,12.071,18.604,46.903,8.007,0,4,16,19,12,7,2,1,0
38,0,6,12,2,1,3.5,3.2096774193548385,77.495,4.629,17.183,55.683,10.641,0,5,17,15,15,6,3,1,0
35,2,8,12,2,1,3.5,3.123076923076923,77.405,7.652,16.812,52.941,10.924,0,6,18,17,15,5,3,1,0
30,3,12,14,3,0,3.0,2.9571428571428573,77.253,13.217,20.389,43.647,5.094,0,6,19,27,10,6,2,0,0
34,2,18,4,3,1,3.5,3.0606060606060606,77.012,20.204,6.439,50.369,10.495,0,6,16,25,11,4,3,1,0
38,2,16,6,3,1,2.5,2.661290322580645,76.908,21.56,9.746,45.602,5.988,0,7,24,21,5,3,2,0,0
31,1,18,10,3,0,2.5,2.739130434782609,76.834,21.38,13.742,41.712,4.878,0,8,24,22,10,3,2,0,0
41,1,18,8,1,1,2.5,2.694915254237288,76.697,25.341,11.088,40.268,6.024,0,7,22,18,8,2,2,0,0
29,0,16,10,3,1,2.5,2.732394366197183,76.694,16.916,14.952,44.826,5.598,0,8,25,23,10,3,2,0,0
34,1,4,14,3,0,3.5,3.227272727272727,76.647,3.139,19.882,53.626,9.891,0,6,16,18,14,8,3,1,0
36,2,6,12,3,1,2.5,2.71875,76.631,6.291,20.739,49.601,5.994,0,8,27,12,11,4,2,0,0
32,2,6,12,3,1,3.5,3.1470588235294117,76.573,5.231,17.491,53.851,10.499,0,6,18,19,15,6,3,1,0
35,2,6,14,1,1,2.5,2.769230769230769,76.51,6.037,22.279,48.194,6.078,0,9,26,11,11,6,2,0,0
34,2,14,8,3,1,2.5,2.6818181818181817,76.458,17.123,12.71,46.625,5.568,0,8,25,20,8,3,2,0,0
34,3,12,12,3,0,3.0,2.893939393939394,76.444,14.188,17.459,44.797,5.37,0,6,19,25,10,4,2,0,0
38,3,10,14,2,0,3.0,2.935483870967742,76.34,12.433,20.96,42.947,5.094,0,6,19,20,9,6,2,0,0
33,3,18,10,3,0,2.5,2.716417910447761,76.319,23.678,14.059,38.582,5.358,0,7,25,21,10,2,2,0,0
34,2,12,12,1,1,3.0,2.9242424242424243,76.303,12.654,16.413,47.236,5.562,0,6,18,25,11,4,2,0,0
41,1,18,14,0,0,3.0,2.983050847457627,76.209,22.692,19.288,34.229,2.7,0,5,14,24,10,5,1,0,0
34,2,18,6,2,1,3.0,2.8484848484848486,76.143,21.535,7.026,47.582,5.22,0,6,18,29,8,3,2,0,0
40,1,18,12,1,0,3.5,3.033333333333333,76.012,21.979,15.166,38.867,5.256,0,5,15,21,13,4,2,0,0
30,0,12,14,2,0,3.0,3.0428571428571427,75.679,10.976,18.39,46.313,7.979,0,6,18,26,11,6,2,1,0
34,1,10,14,1,0,3.5,3.1818181818181817,75.64,9.177,17.265,49.198,9.509,0,6,17,18,14,7,3,1,0
39,2,18,4,2,1,3.5,3.0491803278688523,75.398,21.592,5.746,48.06,7.827,0,5,15,24,10,4,2,1,0
41,0,4,12,2,1,3.5,3.2033898305084745,75.376,2.77,17.241,55.365,10.933,0,5,16,14,15,5,3,1,0
31,3,14,10,2,1,3.5,3.0434782608695654,75.357,14.239,12.622,48.496,10.342,0,6,19,23,13,4,3,1,0
32,2,10,14,2,0,3.0,3.014705882352941,75.356,10.401,19.019,45.936,7.807,0,6,19,24,10,6,2,1,0
39,1,4,14,2,0,3.5,3.2131147540983607,75.291,3.251,19.366,52.674,10.225,0,6,16,14,14,7,3,1,0
29,3,12,12,2,1,3.5,3.1267605633802815,75.269,11.663,15.287,48.319,9.881,0,6,19,21,15,6,3,1,0
31,1,18,10,2,0,3.5,3.0869565217391304,74.97,18.418,10.842,45.71,9.41,0,6,17,24,14,4,3,1,0
32,1,8,14,3,0,2.5,2.764705882352941,74.921,7.807,21.459,45.655,5.244,0,9,26,15,10,6,2,0,0
33,2,12,12,3,0,3.0,2.91044776119403,74.84,13.093,16.672,45.075,4.914,0,6,18,27,10,4,2,0,0
39,0,16,6,2,1,3.5,3.0655737704918034,74.836,16.652,7.118,51.066,10.631,0,5,16,23,9,4,3,1,0
34,3,10,10,2,1,3.5,3.0606060606060606,74.607,10.485,13.067,51.055,10.376,0,6,19,19,14,4,3,1,0
30,1,18,8,3,0,3.5,3.0714285714285716,74.58,18.034,9.153,47.393,9.228,0,6,17,26,13,4,3,1,0
37,2,18,8,3,0,3.5,3.0,74.512,21.028,10.33,43.154,7.915,0,5,17,24,11,3,2,1,0
33,2,8,12,3,0,3.5,3.1343283582089554,74.3,7.728,15.41,51.162,9.645,0,6,18,19,14,6,3,1,0
37,3,16,4,3,1,3.0,2.8253968253968256,74.21,19.431,7.246,47.533,5.22,0,6,17,29,6,3,2,0,0
30,1,18,14,0,0,2.5,2.857142857142857,74.208,19.278,16.867,38.063,4.686,0,8,23,20,11,6,2,0,0
30,2,14,12,3,0,3.0,2.9571428571428573,74.185,14.236,15.826,44.123,7.485,0,6,19,28,10,4,2,1,0
34,1,16,12,2,0,2.5,2.757575757575758,74.176,18.086,15.99,40.1,5.232,0,8,23,20,9,4,2,0,0
32,1,8,12,2,1,3.0,2.985294117647059,74.16,6.728,16.794,50.638,7.873,0,7,19,22,12,5,2,1,0
38,2,14,10,1,1,3.0,2.8548387096774195,74.089,16.432,13.037,44.62,5.382,0,6,18,24,9,3,2,0,0
36,1,8,12,3,0,3.0,2.96875,74.081,7.717,16.919,49.445,7.703,0,6,18,23,10,4,2,1,0
41,2,6,12,2,1,2.5,2.711864406779661,74.077,7.021,20.35,46.706,6.03,0,8,25,10,10,4,2,0,0
37,2,14,10,1,1,3.0,2.873015873015873,74.074,15.954,12.552,45.568,5.28,0,6,18,24,10,3,2,0,0
37,0,8,12,3,0,3.0,3.0,73.827,7.216,17.243,49.368,7.789,0,5,18,23,10,4,2,1,0
42,3,12,10,1,1,3.0,2.8448275862068964,73.739,15.832,13.919,43.988,5.67,0,5,18,22,9,2,2,0,0
