lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
32,10,9,1,7,2,1,20,16,2,2,11,3,0,34,3.235294117647059,2.723076923076923,18,16,15,9,3,2,3,95.734,10.764,20.262,64.708,14.692,3.55,1.0
28,11,10,1,8,2,1,23,19,2,2,12,3,2,34,3.235294117647059,2.739130434782609,19,17,15,10,4,2,3,101.11,10.802,25.648,64.66,15.32,3.628,1.0
30,11,10,1,8,2,1,21,17,2,2,9,3,3,34,3.235294117647059,2.8208955223880596,17,16,15,11,4,2,3,101.286,10.804,25.846,64.636,15.232,3.632,1.0
28,11,10,1,8,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.782608695652174,18,17,15,11,4,2,3,102.472,10.448,27.4,64.624,15.806,3.726,1.0
27,12,11,1,9,2,1,23,19,2,2,12,3,2,34,3.235294117647059,2.7142857142857144,19,18,15,11,3,2,3,100.74,11.838,24.288,64.614,15.65,3.6673346693386772,0.998
32,10,9,1,7,2,1,20,16,2,2,9,2,3,34,3.235294117647059,2.8153846153846156,17,16,13,11,4,2,3,98.61,9.392,24.604,64.614,15.236,3.538,1.0
27,12,11,1,9,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7714285714285714,18,18,15,11,4,2,3,103.118,11.262,27.252,64.604,15.602,3.6713426853707416,0.998
30,10,9,1,7,2,1,22,18,2,2,12,1,3,34,3.235294117647059,2.7611940298507465,19,16,13,11,4,2,3,99.404,9.936,24.872,64.596,15.16,3.7,1.0
31,9,8,1,6,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.787878787878788,18,16,13,11,4,2,3,98.782,8.484,25.714,64.584,15.642,3.666,1.0
32,9,8,1,6,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.8153846153846156,17,15,15,10,4,2,3,98.914,9.338,25.008,64.568,15.174,3.706,1.0
27,12,11,1,9,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7714285714285714,18,18,15,11,4,2,3,103.526,11.308,27.658,64.56,14.738,3.606,1.0
30,12,11,1,9,2,1,20,16,2,2,10,2,2,34,3.235294117647059,2.7611940298507465,19,17,14,11,3,2,3,99.256,12.342,22.354,64.56,14.954,3.524,1.0
30,11,10,1,8,2,1,21,17,2,2,10,3,2,34,3.235294117647059,2.7761194029850746,17,17,15,11,3,2,3,99.712,11.09,24.066,64.556,15.27,3.612,1.0
30,10,9,1,7,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.7761194029850746,18,16,15,10,4,2,3,99.14,9.712,24.878,64.55,15.054,3.58,1.0
32,11,10,1,8,2,1,19,15,2,2,9,2,2,34,3.235294117647059,2.8153846153846156,16,17,14,10,4,2,3,97.946,10.758,22.642,64.546,14.94,3.524,1.0
29,11,10,1,8,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.764705882352941,18,17,15,10,4,2,3,99.972,10.69,24.742,64.54,15.258,3.604,1.0
35,8,7,1,5,2,1,19,15,2,2,10,2,1,34,3.235294117647059,2.806451612903226,17,13,15,10,3,2,3,94.042,8.62,20.886,64.536,14.724,3.566,1.0
27,12,11,1,9,2,1,23,19,2,2,12,2,3,34,3.235294117647059,2.742857142857143,19,18,14,11,4,2,3,102.634,11.872,26.23,64.532,15.022,3.664,1.0
28,11,10,1,8,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.782608695652174,18,17,15,11,4,2,3,101.92,10.55,26.894,64.476,15.474,3.598,1.0
29,11,10,1,8,2,1,22,18,2,2,11,3,2,34,3.235294117647059,2.75,18,17,15,11,3,2,3,99.232,10.73,24.03,64.472,14.94,3.542,1.0
27,12,11,1,9,2,1,23,19,2,2,11,3,3,34,3.235294117647059,2.7714285714285714,18,18,15,11,4,2,3,103.898,11.346,28.084,64.468,15.616,3.623246492985972,0.998
30,10,9,1,7,2,1,22,18,2,2,10,3,3,34,3.235294117647059,2.8208955223880596,17,16,15,11,4,2,3,102.054,10.078,27.514,64.462,15.34,3.566,1.0
30,10,9,1,7,2,1,22,18,2,2,11,2,3,34,3.235294117647059,2.7761194029850746,18,17,13,11,4,2,3,99.324,9.354,25.51,64.46,15.144,3.652,1.0
31,12,11,1,9,2,1,19,15,2,2,9,2,2,34,3.235294117647059,2.803030303030303,16,18,14,10,4,2,3,99.174,11.772,22.968,64.434,14.752,3.532,1.0
28,11,10,1,8,2,1,23,19,2,2,12,3,2,34,3.235294117647059,2.7246376811594204,19,18,14,10,4,2,3,100.502,10.524,25.546,64.432,15.066,3.614,1.0
