lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
34,7,4,3,3,4,0,14,7,7,0,0,3,3,44,3.090909090909091,2.9393939393939394,10,23,13,9,6,4,1,36.006,3.596,7.104,25.306,1.17,3.787878787878788,0.99
38,7,3,4,3,4,0,10,6,4,0,0,3,2,44,3.090909090909091,2.967741935483871,8,23,13,7,6,4,1,33.006,3.272,4.43,25.304,0.828,3.7404426559356136,0.994
38,5,4,1,2,3,0,12,6,6,0,0,3,3,44,3.090909090909091,2.967741935483871,8,22,13,9,6,3,1,33.754,2.908,5.556,25.29,0.792,3.785140562248996,0.996
35,7,4,3,4,3,0,13,5,8,0,0,3,2,44,3.090909090909091,2.8923076923076922,10,22,15,8,6,3,1,34.462,3.338,5.838,25.286,1.098,3.723790322580645,0.992
38,5,2,3,2,3,0,12,4,7,1,0,2,2,44,3.090909090909091,2.967741935483871,10,20,13,8,6,4,1,34.34,2.844,6.238,25.258,1.062,3.8551307847082494,0.994
39,7,5,2,4,3,0,9,5,4,0,0,3,2,44,3.090909090909091,2.9344262295081966,8,21,16,6,6,3,1,32.496,3.818,3.422,25.256,1.026,3.700201207243461,0.994
35,8,5,3,4,4,0,12,6,6,0,0,3,2,44,3.090909090909091,2.9384615384615387,9,23,15,7,6,4,1,34.708,3.874,5.58,25.254,1.026,3.710843373493976,0.996
42,5,3,2,2,3,0,8,3,5,0,0,1,2,44,3.090909090909091,2.9827586206896552,8,20,12,8,6,3,1,30.83,2.296,3.282,25.252,0.63,3.7931726907630523,0.996
34,8,5,3,3,5,0,13,6,7,0,0,3,2,44,3.090909090909091,2.9545454545454546,9,24,13,9,6,4,1,35.56,4.252,6.092,25.216,1.116,3.8336673346693386,0.998
35,7,4,3,3,4,0,13,5,8,0,0,2,2,44,3.090909090909091,2.9846153846153847,10,20,15,9,6,4,1,35.41,3.756,6.44,25.214,1.242,3.7550607287449393,0.988
40,5,3,2,3,2,0,10,5,5,0,0,5,0,44,3.090909090909091,2.9166666666666665,9,21,13,7,6,3,1,31.536,2.018,4.31,25.208,0.828,3.762575452716298,0.994
37,6,2,4,3,3,0,12,5,7,0,0,3,2,44,3.090909090909091,2.9365079365079363,8,23,14,8,6,3,1,33.688,3.272,5.208,25.208,0.9,3.8245967741935485,0.992
38,8,4,4,3,5,0,9,2,6,1,0,1,1,44,3.090909090909091,3.0161290322580645,9,19,15,8,6,4,1,33.286,3.9,4.178,25.208,0.828,3.744466800804829,0.994
43,4,1,3,2,2,0,8,3,4,1,0,1,2,44,3.090909090909091,3.0350877192982457,8,19,12,7,6,4,1,31.352,2.064,4.082,25.206,0.9,3.7635270541082164,0.998
42,5,3,2,2,3,0,8,4,4,0,0,2,2,44,3.090909090909091,2.9827586206896552,8,19,14,7,6,3,1,30.724,2.408,3.112,25.204,0.576,3.7269076305220885,0.996
36,8,4,4,4,4,0,11,4,6,1,0,3,1,44,3.090909090909091,2.9375,9,22,16,6,6,4,1,34.174,3.866,5.154,25.154,1.008,3.784708249496982,0.994
36,6,2,4,2,4,0,13,4,8,1,0,2,2,44,3.090909090909091,2.953125,10,20,16,7,6,4,1,34.474,3.154,6.184,25.136,1.116,3.8927125506072873,0.988
40,8,5,3,3,5,0,7,3,4,0,0,2,1,44,3.090909090909091,3.0166666666666666,6,22,14,8,6,3,1,32.128,3.662,3.336,25.13,0.99,3.655310621242485,0.998
35,9,5,4,4,5,0,11,5,5,1,0,3,2,44,3.090909090909091,2.9692307692307693,9,23,13,9,6,4,1,35.182,4.774,5.286,25.122,0.828,3.75152749490835,0.982
38,5,3,2,1,4,0,12,7,5,0,0,4,3,44,3.090909090909091,3.0,8,21,13,10,6,3,1,33.876,3.094,5.664,25.118,0.846,3.874493927125506,0.988
34,7,3,4,2,5,0,14,7,6,1,0,3,4,44,3.090909090909091,2.9545454545454546,10,22,14,9,6,4,1,35.884,3.922,6.846,25.116,1.296,3.7874493927125505,0.988
40,5,3,2,3,2,0,10,2,8,0,0,1,1,44,3.090909090909091,2.9833333333333334,9,19,13,9,6,3,1,32.454,2.932,4.416,25.106,0.972,3.8877755511022043,0.998
36,7,4,3,3,4,0,12,6,6,0,0,3,2,44,3.090909090909091,2.96875,9,22,14,8,6,4,1,34.298,3.644,5.548,25.106,0.936,3.802020202020202,0.99
