lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
34,24,23,1,9,11,4,2,0,1,1,0,0,0,39,6.512820512820513,5.333333333333333,3,11,7,9,4,8,22,46.45,11.221,1.282,33.947,25.7,6.941988950276243,0.724
42,21,19,2,7,11,3,1,0,0,1,0,0,0,35,6.114285714285714,5.189655172413793,3,9,6,8,4,8,18,45.281,10.793,0.544,33.944,24.991,6.806369426751592,0.785
42,16,15,1,7,7,2,3,0,2,1,0,0,0,38,6.184210526315789,5.241379310344827,3,9,6,8,4,7,19,42.963,7.025,2.012,33.926,23.404,7.1535087719298245,0.684
40,19,16,3,8,8,3,3,0,2,1,0,0,0,37,6.405405405405405,5.35,3,9,7,8,4,7,20,45.279,9.364,1.99,33.925,24.815,6.939972714870396,0.733
45,16,15,1,6,7,3,3,0,2,1,0,0,0,35,6.142857142857143,5.3090909090909095,3,9,6,7,4,8,17,44.296,8.232,2.15,33.914,24.101,7.237789203084833,0.778
38,22,20,2,8,10,4,2,0,2,0,0,0,0,37,6.324324324324325,5.241935483870968,3,10,7,8,5,7,20,45.71,10.472,1.338,33.9,25.286,6.851261620185923,0.753
38,24,22,2,9,10,5,1,0,0,1,0,0,0,36,6.25,5.129032258064516,3,11,7,8,5,7,19,46.298,11.895,0.524,33.879,25.269,6.707070707070707,0.792
44,19,16,3,8,8,3,3,0,2,1,0,0,0,33,5.96969696969697,5.035714285714286,3,9,7,7,5,8,15,45.716,9.7,2.162,33.854,23.312,6.978829389788294,0.803
43,19,16,3,7,9,3,3,0,2,1,0,0,0,34,6.088235294117647,5.175438596491228,3,8,7,8,4,7,18,45.997,10.163,1.988,33.846,25.769,6.923469387755102,0.784
45,20,17,3,6,9,5,2,0,1,1,0,0,0,32,6.03125,5.163636363636364,3,7,7,8,5,7,16,46.452,11.387,1.22,33.845,25.418,6.765060240963855,0.83
